Song_Name,Song_ID,Duration_ms,Artist_name,Album_name,Album_date,played_at,Explicit
Socorro,1Xyf243Z7sN1Ekuq2JcGEi,252493,Un Corazón,KINTSUGI,2024-05-17,2026-05-18 12:51:39.082000-06:00,False
Solo Tú,3kcFAFvGBL7FzEjJrAgwe6,193183,Un Corazón,Sinergia,2020-02-07,2026-05-18 12:47:39.185000-06:00,False
Es Él,7sqjdAq2iSmQeDqOPVDv9P,453082,Felipe S. Santos,Es Él,2024-11-22,2026-05-18 12:43:38.790000-06:00,False
Mi Gozo - Live,7zFXXZvsNxOw3UPL6jOlNG,368874,Barak,Fuego & Poder (Live),2022-10-22,2026-05-18 12:35:39.032000-06:00,False
Venció,312hfilKXEyJ1LsMHlzUdE,175593,Marcos Witt,25 Concierto Conmemorativo (Versión Extendida),2011-07-05,2026-05-18 12:29:38.935000-06:00,False
Poderoso,0gFAVwZgZnpmqNjqrinwQS,213229,Marcos Witt,Legado,2025-05-23,2026-05-18 12:26:38.971000-06:00,False
Cuán Bello Es El Señor,7xh9sdVBkkB8cxAm4Kisod,211589,Marcos Witt,Legado,2025-05-23,2026-05-18 12:22:39.541000-06:00,False
Renuévame / Tu Amor Por Mi,0iV2iKb7xXppAHh0pDGkCR,227172,Marcos Witt,Legado,2025-05-23,2026-05-18 12:19:04.597000-06:00,False
Poderoso,0gFAVwZgZnpmqNjqrinwQS,213229,Marcos Witt,Legado,2025-05-23,2026-05-18 11:37:19.489000-06:00,False
Me Apasionas,64tvguQWmhI9G5l0FtfqTs,265213,Generación 12,Mientras Viva (En Vivo Desde Sudamérica),2014-01-28,2026-05-18 11:33:29.884000-06:00,False
Avivanos,5mqPePZFWyyIyxdRB8Km94,242840,Generación 12,Mientras Viva (En Vivo Desde Sudamérica),2014-01-28,2026-05-18 11:29:04.002000-06:00,False
Victoria - Live,4fOUwSoImKinbCsIDlLbyi,693440,Averly Morillo,Victoria (Live),2026-03-28,2026-05-18 11:25:00.965000-06:00,False
En El Nombre De Jesus,4A5ru61GL2HnmG2vr1b6TH,251600,Paz Aguayo,Paz Aguayo,2016-06-01,2026-05-18 11:13:26.824000-06:00,False
Viene - En Vivo Desde Vorterix,0kag34OinSKhKZ9tViRAD9,186624,Rescate,VIENE (En Vivo Desde VORTERIX),2025-10-03,2026-05-18 11:09:15.320000-06:00,False
Júbilo,5fMr359jsPc4EeQTNItnhQ,619080,Miel San Marcos,Dios En Casa,2022-03-18,2026-05-18 11:06:09.001000-06:00,False
Hay Victoria,5wDV36MTlltrVISK5p5O7P,365045,Mda Restauración,Hay Victoria,2024-12-17,2026-05-18 10:55:47.536000-06:00,False
Agradecido,4T0lFmU1COfW9VpD2OD86l,220693,Miel San Marcos,Proezas,2012-11-10,2026-05-18 10:49:42.729000-06:00,False
Dios Fuerte,4SnT5pKPCu4pHOHt7vP5QB,460374,Barak,Dios Fuerte,2025-02-28,2026-05-18 10:46:00.833000-06:00,False
Amamos Tanto Tu Presencia,41VyxwR4hoV9XZrJm2K2sO,456759,Will Fabre,Anfitriones de su presencia,2024-10-01,2026-05-18 10:38:20.171000-06:00,False
Mesias - Live,2f76xe9iPZbab7nMXaUaNR,743333,Averly Morillo,Mesias (Live),2024-02-10,2026-05-18 10:30:45.765000-06:00,False
Es Él - En Vivo,2I62ilF5qfbJqDwaIJ5snf,442894,Felipe S. Santos,Es Él (En Vivo),2025-01-17,2026-05-18 10:18:19.113000-06:00,False
Naciones Mix,1xBJW0EFDuDMTDi1n7hXif,632466,New Wine,Encuentranos Espíritu Santo,2017-05-19,2026-05-18 10:10:55.100000-06:00,False
King Of Glory - Live,1aaU30d8KvsvTEaCwq4ujl,316186,Jesus Culture,Your Love Never Fails (Live),2008-01-01,2026-05-18 10:00:21.237000-06:00,False
Al Que Es Digno,0pUUc74GRf1hV7fHeblO3c,219685,Marcos Witt,Legado,2025-05-23,2026-05-18 09:55:04.347000-06:00,False
Hazme Vivir,0p0rbv6bCcj81BtdiNxz1Z,263053,Thalles Roberto,Dios Me Ama,2015-05-04,2026-05-18 09:51:24.184000-06:00,False
El Nombre De Cristo,3B5FIzu6JtDNY1vJDzUM4F,231816,Cultura De Jesus,No Nos Detendremos,2019-10-05,2026-05-18 09:47:00.646000-06:00,False
El Amado Viene,7dmOa4VpO7n0rTHmARftzj,482279,Montesanto,El Amado Viene,2024-07-20,2026-05-18 09:43:07.930000-06:00,False
Dulce Carro De Fuego,7poCv6DgtBGsw0SEi8nL32,175119,Mi Copa Está Rebosando,Gospel para volar 2,2025-11-11,2026-05-18 09:35:07.252000-06:00,False
Gracias / Tu Fidelidad,1PemJ4t1dapa3vrjio05TH,325000,Marcos Witt,Legado,2025-05-23,2026-05-18 09:32:07.582000-06:00,False
Ven Amado,79OY4m6F3MdHqXUwXPGWDS,251522,Genesis Campos,Ven Amado,2023-10-27,2026-05-18 09:26:41.799000-06:00,False
No Puedo Callar,2sIucCEjs380R7cSHNsxgk,282853,En Espíritu Y En Verdad,No Puedo Callar,2016-03-04,2026-05-18 09:22:29.499000-06:00,False
Hay Poder En La Alabanza - Live,66GTKGHWEZ0XH5nYPimRwT,248780,Jesus Worship Center,Cuando Adoro (Live),2023-07-06,2026-05-18 09:17:46.523000-06:00,False
Hay Poder En La Alabanza - Live,66GTKGHWEZ0XH5nYPimRwT,248780,Jesus Worship Center,Cuando Adoro (Live),2023-07-06,2026-05-18 09:13:54.595000-06:00,False
Puedo Ver El Sol,02paUXh27sHPBFVVhcE29q,262916,Eccos,Puedo Ver El Sol,2026-05-08,2026-05-16 16:40:40.023000-06:00,False
El Nombre De Cristo,3B5FIzu6JtDNY1vJDzUM4F,231816,Cultura De Jesus,No Nos Detendremos,2019-10-05,2026-05-16 15:49:47.599000-06:00,False
Es Él,7sqjdAq2iSmQeDqOPVDv9P,453082,Felipe S. Santos,Es Él,2024-11-22,2026-05-16 08:26:32.741000-06:00,False
Santo Por Siempre,0NDtAA7P5m8iaNcVeeErk5,322500,Eccos,Santo Por Siempre,2024-11-01,2026-05-15 09:35:22.300000-06:00,False
Digno De Adorar,0SJjnHs6rZwXBJgERsbJd4,666623,Miel San Marcos,Digno de Adorar,2025-03-28,2026-05-15 09:32:21.689000-06:00,False
El Amado Viene,7dmOa4VpO7n0rTHmARftzj,482279,Montesanto,El Amado Viene,2024-07-20,2026-05-15 09:18:47.758000-06:00,False
El Amado Viene,7dmOa4VpO7n0rTHmARftzj,482279,Montesanto,El Amado Viene,2024-07-20,2026-05-15 09:11:41.193000-06:00,False
Mi Gozo - Live,7zFXXZvsNxOw3UPL6jOlNG,368874,Barak,Fuego & Poder (Live),2022-10-22,2026-05-14 21:25:58.250000-06:00,False
Renuévame / Tu Amor Por Mi,0iV2iKb7xXppAHh0pDGkCR,227172,Marcos Witt,Legado,2025-05-23,2026-05-14 21:15:12.410000-06:00,False
Poderoso,0gFAVwZgZnpmqNjqrinwQS,213229,Marcos Witt,Legado,2025-05-23,2026-05-14 21:11:12.100000-06:00,False
Mas El Dios De Toda Gracia / Quiero Levantar Mis Manos,77xMmii3Dsmx3PLjFIImC1,365600,Marcos Witt,Legado,2025-05-23,2026-05-14 21:07:42.347000-06:00,False
Gracias / Tu Fidelidad,1PemJ4t1dapa3vrjio05TH,325000,Marcos Witt,Legado,2025-05-23,2026-05-14 21:01:42.461000-06:00,False
Cuán Bello Es El Señor,7xh9sdVBkkB8cxAm4Kisod,211589,Marcos Witt,Legado,2025-05-23,2026-05-14 20:56:00.877000-06:00,False
