Song_Name,Song_ID,Duration_ms,Artist_name,Album_name,Album_date,played_at,Explicit
Puedo Ver El Sol,02paUXh27sHPBFVVhcE29q,262916,ECCOS,Puedo Ver El Sol,2026-05-08,2026-05-16T22:40:40.023Z,False
El Nombre de Cristo,3B5FIzu6JtDNY1vJDzUM4F,231816,Cultura de Jesus,No Nos Detendremos,2019-10-05,2026-05-16T21:49:47.599Z,False
Es Él,7sqjdAq2iSmQeDqOPVDv9P,453082,Felipe S. Santos,Es Él,2024-11-22,2026-05-16T14:26:32.741Z,False
Santo Por Siempre,0NDtAA7P5m8iaNcVeeErk5,322500,ECCOS,Santo Por Siempre,2024-11-01,2026-05-15T15:35:22.300Z,False
Digno de Adorar,0SJjnHs6rZwXBJgERsbJd4,666623,Miel San Marcos,Digno de Adorar,2025-03-28,2026-05-15T15:32:21.689Z,False
El Amado Viene,7dmOa4VpO7n0rTHmARftzj,482279,Montesanto,El Amado Viene,2024-07-20,2026-05-15T15:18:47.758Z,False
El Amado Viene,7dmOa4VpO7n0rTHmARftzj,482279,Montesanto,El Amado Viene,2024-07-20,2026-05-15T15:11:41.193Z,False
Mi Gozo - Live,7zFXXZvsNxOw3UPL6jOlNG,368874,Barak,Fuego & Poder (Live),2022-10-22,2026-05-15T03:25:58.250Z,False
Renuévame / Tu Amor Por Mi,0iV2iKb7xXppAHh0pDGkCR,227172,Marcos Witt,Legado,2025-05-23,2026-05-15T03:15:12.410Z,False
Poderoso,0gFAVwZgZnpmqNjqrinwQS,213229,Marcos Witt,Legado,2025-05-23,2026-05-15T03:11:12.100Z,False
Mas El Dios De Toda Gracia / Quiero Levantar Mis Manos,77xMmii3Dsmx3PLjFIImC1,365600,Marcos Witt,Legado,2025-05-23,2026-05-15T03:07:42.347Z,False
Gracias / Tu Fidelidad,1PemJ4t1dapa3vrjio05TH,325000,Marcos Witt,Legado,2025-05-23,2026-05-15T03:01:42.461Z,False
Cuán Bello Es El Señor,7xh9sdVBkkB8cxAm4Kisod,211589,Marcos Witt,Legado,2025-05-23,2026-05-15T02:56:00.877Z,False
Al Que Es Digno,0pUUc74GRf1hV7fHeblO3c,219685,Marcos Witt,Legado,2025-05-23,2026-05-15T02:52:33.537Z,False
Amoroso,32sx8Acau9OdeRZCtaRmv7,369680,BJ Putnam,Más Y Más (En Vivo),2014-10-14,2026-05-14T21:43:52.613Z,False
Como David,4f7OAbmlCzlJjCXALIg9Uh,261600,Montesanto,Como David (Live),2025-08-14,2026-05-14T19:05:25.264Z,False
Todos a Danzar,3zVM6VEOvme4uP15KXshZ2,305666,BJ Putnam,Más Y Más (En Vivo),2014-10-14,2026-05-14T19:00:56.453Z,False
Sea La Luz,5VQZ9Q7dugZOxIl1Xd1XhG,467133,Toma Tu Lugar,Uno En Cristo,2017-08-08,2026-05-14T18:45:04.955Z,False
Cantaremos de Tu Amor,0GyPJ1lMsEVT9QoRa9yS9D,256200,Barak,Generación Sedienta,2014-04-21,2026-05-14T18:37:04.328Z,False
Arde Otra Vez,266tBIib3j2Ly2ueXJprmr,457146,Thalles Roberto,Dios Me Ama,2015-05-04,2026-05-14T18:32:34.433Z,False
No Puedo Callar,2sIucCEjs380R7cSHNsxgk,282853,En Espíritu Y En Verdad,No Puedo Callar,2016-03-04,2026-05-14T18:25:04.134Z,False
Hazme Vivir,0p0rbv6bCcj81BtdiNxz1Z,263053,Thalles Roberto,Dios Me Ama,2015-05-04,2026-05-14T18:20:04.094Z,False
El Nombre de Cristo,3B5FIzu6JtDNY1vJDzUM4F,231816,Cultura de Jesus,No Nos Detendremos,2019-10-05,2026-05-14T18:14:34.478Z,False
